"RwID","Ukrname","Watertype"
1,"Турія","річка"
2,"Уборть","річка"
3,"Серет","річка"
4,"Псел","річка"
5,"Сула","річка"
6,"Оскіл","річка"
7,"Самара","річка"
8,"Салгир","річка"
9,"Уж","річка"
10,"Турія","річка"
11,"Случ","річка"
12,"Мурафа","річка"
13,"Льва","річка"
14,"Стохід","річка"
15,"Кодима","річка"
16,"Гірський  Тікич","річка"
17,"Хорол","річка"
18,"Удай","річка"
19,"Вовча","річка"
20,"Лугань","річка"
21,"Когильник","річка"
22,"Молочна","річка"
23,"Базавлук","річка"
24,"Великий Куяльник","річка"
25,"Чичиклія","річка"
26,"Ушиця","річка"
27,"Стрипа","річка"
28,"Золота Липа","річка"
29,"Ломниця","річка"
30,"Хомора","річка"
31,"Соб","річка"
32,"Іква","річка"
33,"Кам'янка","річка"
34,"Ірша","річка"
35,"Роставиця","річка"
36,"Кам'янка","річка"
37,"Супій","річка"
38,"Трубіж","річка"
39,"Комишна","річка"
40,"Сарата","річка"
41,"Альма","річка"
42,"Кам'янка","річка"
43,"Гайчур","річка"
44,"Саксагань","річка"
45,"Красна","річка"
46,"Красна","річка"
47,"Краснознаменський","канал"
48,"Біла","річка"
49,"Солокія","річка"
50,"Завадівка","річка"
51,"Луга","річка"
52,"Цир","річка"
53,"Стубла","річка"
54,"Кормин","річка"
55,"Пляшівка","річка"
56,"Острівка","річка"
57,"Устя","річка"
58,"Бобер","річка"
59,"Серегівка","річка"
60,"Стави","річка"
61,"Смілка","річка"
62,"Деревичка","річка"
63,"Церем","річка"
64,"Норин","річка"
65,"Кам'янка","річка"
66,"Перга","річка"
67,"Свидовець","річка"
68,"Словечна","річка"
69,"Плав","річка"
70,"Ствига","річка"
71,"Унава","річка"
72,"Таль","річка"
73,"Возня","річка"
74,"Тростяниця","річка"
75,"Дубовець","річка"
76,"Гнилоп'ять","річка"
77,"Гуйва","річка"
78,"Стугна","річка"
79,"Росава","річка"
80,"Цибульник","річка"
81,"Мокра Сура","річка"
82,"Бокова","річка"
83,"Жовта","річка"
84,"Зелена","річка"
85,"Бешка","річка"
86,"","річка"
87,"","річка"
88,"","канал"
89,"Аджамка","річка"
90,"Березівка","річка"
91,"Березівка","річка"
92,"Журавка","річка"
93,"Малий Куяльник","річка"
94,"Кошкова","річка"
95,"Сосик","річка"
96,"Березань","річка"
97,"Барабой","річка"
98,"Хаджидер","річка"
99,"Киргиж","річка"
100,"Киргиж-Китай","річка"
101,"Киргиж-Китай","річка"
102,"Аліяга","річка"
103,"Великий Котлабух","річка"
104,"Ташбунар","річка"
105,"Карасулак","річка"
106,"Чага","річка"
107,"Сака","річка"
108,"Малий Котлабух","річка"
109,"","річка"
110,"","річка"
111,"Дунай","річка"
112,"Мала Шопурка","річка"
113,"Середня Шопурка","річка"
114,"Боржава","річка"
115,"Рингач","річка"
116,"Калюс","річка"
117,"Студениця","річка"
118,"Тернава","річка"
119,"Жванчик","річка"
120,"Нічлава","річка"
121,"Коропець","річка"
122,"Бистриця-Солотвинська","річка"
123,"Ворона","річка"
124,"Гнила Липа","річка"
125,"Луква","річка"
126,"Чечва","річка"
127,"Болохівка","річка"
128,"Свірж","річка"
129,"Зубра","річка"
130,"Свіча","річка"
131,"Мизунка","річка"
132,"Опір","річка"
133,"Бистриця","річка"
134,"Русава","річка"
135,"Бушанка","річка"
136,"Лозова","річка"
137,"Немія","річка"
138,"Дохна","річка"
139,"Удич","річка"
140,"Недотека","річка"
