"RwID","Ukrname","Watertype"
1,"Дунай","річка"
2,"Дніпро","річка"
3,"Турія","річка"
4,"Уборть","річка"
5,"Серет","річка"
6,"Псел","річка"
7,"Сула","річка"
8,"Оскіл","річка"
9,"Самара","річка"
10,"Салгир","річка"
11,"Случ","річка"
12,"Мурафа","річка"
13,"Льва","річка"
14,"Стохід","річка"
15,"Кодима","річка"
16,"Гірський  Тікич","річка"
17,"Хорол","річка"
18,"Удай","річка"
19,"Лугань","річка"
20,"Когильник","річка"
21,"Молочна","річка"
22,"Базавлук","річка"
23,"Стрипа","річка"
24,"Золота Липа","річка"
25,"Ломниця","річка"
26,"Соб","річка"
27,"Ірша","річка"
28,"Роставиця","річка"
29,"Супій","річка"
30,"Трубіж","річка"
31,"Сарата","річка"
32,"Альма","річка"
33,"Кам'янка","річка"
34,"Саксагань","річка"
35,"Красна","річка"
36,"Краснознаменський","канал"
37,"Остер","річка"
38,"Мерла","річка"
39,"Каховський","канал"
40,"Велика Карасівка","річка"
41,"Молочна","річка"
42,"Казенний Торець","річка"
43,"Судость","річка"
44,"Серет","річка"
45,"Бистриця-Надвірнянська","річка"
46,"Чорний Черемош","річка"
47,"Латориця","річка"
48,"Смотрич","річка"
49,"Ірпінь","річка"
50,"Гнилий Тікич","річка"
51,"Гнила Оржиця","річка"
52,"Тясмин","річка"
53,"Кінська","річка"
54,"Оржиця","річка"
55,"Стир","річка"
56,"Західний Буг","річка"
57,"Прип'ять","річка"
58,"Стрий","річка"
59,"Північно-Кримський","канал"
60,"Білий Черемош","річка"
61,"Черемош","річка"
62,"Прут","річка"
63,"Дністер","річка"
64,"Дністер","річка"
65,"Збруч","річка"
66,"Прип'ять","річка"
67,"Тетерів","річка"
68,"Здвиж","річка"
69,"Південний Буг","річка"
70,"Уж","річка"
71,"Рось","річка"
72,"","річка"
73,"Очаківське Гирло","річка"
74,"Синюха","річка"
75,"Інгул","річка"
76,"Інгулець","річка"
77,"Берда","річка"
78,"Вовча","річка"
79,"Мокрі Яли","річка"
80,"Кальміус","річка"
81,"Кринка","річка"
82,"Сіверський Донець","річка"
83,"Бахмут","річка"
84,"Кривий Торець","річка"
85,"Деркул","річка"
86,"Айдар","річка"
87,"Уда","річка"
88,"Оріль","річка"
89,"Ворскла","річка"
90,"Сейм","річка"
91,"Клевень","річка"
92,"Івотка","річка"
93,"Десна","річка"
94,"Снов","річка"
95,"Снов","річка"
96,"Горинь","річка"
97,"Тилігул","річка"
98,"Тиса","річка"
99,"Тиса","річка"
100,"Сан","річка"
101,"Дніпро","річка"
102,"Снов","річка"
103,"Желонь","річка"
104,"Желонь","річка"
105,"Сож","річка"
106,"Деркул","річка"
107,"Хаджибейський","лиман"
108,"Куяльницький","лиман"
109,"Дністровський","лиман"
110,"Бузький","лиман"
111,"Молочний","лиман"
112,"Сасик","озеро"
113,"Хаджидер",""
114,"Красне","озеро"
115,"Киятське","озеро"
116,"Карлеутське","озеро"
117,"Сасик","озеро"
118,"",""
119,"Супій","озеро"
120,"Печенізьке","водосховище"
121,"Червонооскільське","водосховище"
122,"",""
123,"",""
124,"Старобешівське","водосховище"
125,"Кальчинське","водосховище"
126,"Кагул","озеро"
127,"Ялпуг","озеро"
128,"Котлабух","озеро"
129,"Китай","озеро"
130,"Бурнас","озеро"
131,"Алив","озеро"
132,"Шагани","озеро"
133,"Свитязьке","озеро"
134,"Пулемецьке","озеро"
135,"",""
136,"",""
137,"",""
138,"",""
139,"",""
140,"Люб'яж","озеро"
141,"Небель","озеро"
142,"",""
143,"",""
144,"",""
145,"",""
146,"",""
147,"",""
148,"",""
149,"",""
150,"Ладижинське","водосховище"
151,"",""
152,"",""
153,"Карачунівське","водосховище"
154,"",""
155,"",""
156,"",""
157,"",""
158,"",""
159,"",""
160,"",""
161,"Макортівське","водосховище"
162,"Акташське","озеро"
163,"",""
164,"Тилігульський","лиман"
165,"Березанський","лиман"
166,"Дніпровський","лиман"
167,"Утлюцький","лиман"
168,"Каланчакський","лиман"
169,"Айгульське","озеро"
170,"Київське","водосховище"
171,"Сиваш","затока"
172,"Канівське","водосховище"
173,"Кременчуцьке","водосховище"
174,"Дніпродзержинське","водосховище"
175,"Дніпровське","водосховище"
176,"Каховське","водосховище"
177,"Будацький","лиман"
178,"Бакальське","озеро"
179,"Джарилгач","озеро"
180,"","озеро"
181,"Сакське","озеро"
182,"Кизил-Яр","озеро"
183,"Чокракське","озеро"
184,"Тобечикське","озеро"
185,"Узунларське","озеро"
186,"Донузлав","озеро"
187,"Білозерський","озеро"
188,"Вуглегірське","водосховище"
189,"",""
190,"",""
191,"Турське","озеро"
