"RwID","SOATO_U","UkrName","SettlType","Zone","District","Oblast","PN2001"
1,"0120100036","Прип'ять","місто",1,"м.Прип'ять","Київська",0
2,"0120100055","Чорнобиль","місто",1,"Іванківський","Київська",0
3,"0520250100","Бар","місто",0,"Барський","Вінницька",17065
4,"0520450100","Бершадь","місто",0,"Бершадський","Вінницька",13179
5,"0520850100","Гайсин","місто",0,"Гайсинський","Вінницька",25495
6,"0521250100","Іллінці","місто",0,"Іллінецький","Вінницька",11103
7,"0521450100","Козятин","місто",0,"м.Козятин","Вінницька",26121
8,"0521650100","Калинівка","місто",0,"Калинівський","Вінницька",19848
9,"0521955100","Крижопіль","смт.",0,"Крижопільський","Вінницька",9464
10,"0522255100","Липовець","місто",0,"Липовецький","Вінницька",9300
11,"0522455100","Літин","смт.",0,"Літинський","Вінницька",6971
12,"0522855100","Муровані Курилівці","смт.",0,"Мурованокуриловецький","Вінницька",6177
13,"0523050100","Немирів","місто",0,"Немирівський","Вінницька",11424
14,"0523155100","Оратів","смт.",0,"Оратівський","Вінницька",3193
15,"0523255100","Піщанка","смт.",0,"Піщанський","Вінницька",5654
16,"0523450100","Погребище","місто",0,"Погребищенський","Вінницька",10673
17,"0523755100","Теплик","смт.",0,"Теплицький","Вінницька",6737
18,"0523955100","Томашпіль","смт.",0,"Томашпільський","Вінницька",5944
19,"0524150300","Ладижин","місто",4,"м.Ладижин","Вінницька",22171
20,"0524155100","Тростянець","смт.",0,"Тростянецький","Вінницька",8151
21,"0524350100","Тульчин","місто",4,"Тульчинський","Вінницька",15847
22,"0524550500","Гнівань","місто",0,"Тиврівський","Вінницька",12852
23,"0524555100","Тиврів","смт.",0,"Тиврівський","Вінницька",4666
24,"0524955100","Чернівці","смт.",0,"Чернівецький","Вінницька",3090
25,"0525055100","Чечельник","смт.",4,"Чечельницький","Вінницька",5590
26,"0525350100","Шаргород","місто",0,"Шаргородський","Вінницька",6923
27,"0525650100","Ямпіль","місто",0,"Ямпільський","Вінницька",11651
28,"0540100000","Вінниця","місто",0,"м.Вінниця","Вінницька",354639
29,"0540300000","Жмеринка","місто",0,"м.Жмеринка","Вінницька",37073
30,"0540400000","Могилів-Подільський","місто",0,"м.Могилів-Подільський","Вінницька",32226
31,"0540900000","Хмільник","місто",0,"м.Хмільник","Вінницька",25181
32,"0720550400","Устилуг","місто",0,"Володимир-Волинський","Волинська",2276
33,"0720850100","Горохів","місто",0,"Горохівський","Волинська",8847
34,"0720850300","Берестечко","місто",0,"Горохівський","Волинська",1863
35,"0721155100","Іваничі","смт.",0,"Іваничівський","Волинська",6918
36,"0721450100","Камінь-Каширський","місто",3,"Камінь-Каширський","Волинська",10609
37,"0721850100","Ківерці","місто",0,"Ківерцівський","Волинська",16505
38,"0722455100","Локачі","смт.",0,"Локачинський","Волинська",4008
39,"0723155100","Любешів","смт.",3,"Любешівський","Волинська",5514
40,"0723350100","Любомль","місто",0,"Любомльський","Волинська",10270
41,"0723655100","Маневичі","смт.",3,"Маневицький","Волинська",10119
42,"0724255100","Ратне","смт.",0,"Ратнівський","Волинська",8489
43,"0725055100","Стара Вижівка","смт.",0,"Старовижівський","Волинська",5151
44,"0725555100","Турійськ","смт.",0,"Турійський","Волинська",5866
45,"0725755100","Шацьк","смт.",0,"Шацький","Волинська",5708
46,"0740100000","Луцьк","місто",0,"м.Луцьк","Волинська",205585
47,"0740200000","Володимир-Волинський","місто",0,"м.Володимир-Волинський","Волинська",37982
48,"0740400000","Ковель","місто",0,"м.Ковель","Волинська",65777
49,"0740700000","Нововолинськ","місто",0,"м.Нововолинськ","Волинська",53703
50,"0920655100","Біловодськ","смт.",0,"Біловодський","Луганська",8626
51,"0920955100","Білокуракине","смт.",0,"Білокуракинський","Луганська",7969
52,"0921650100","Кремінна","місто",0,"Кремінський","Луганська",24252
53,"0922250100","Лутугине","місто",0,"Лутугинський","Луганська",18733
54,"0922555100","Марківка","смт.",0,"Марківський","Луганська",7301
55,"0922855100","Мілове","смт.",0,"Міловський","Луганська",5611
56,"0923155100","Новоайдар","смт.",0,"Новоайдарський","Луганська",9020
57,"0923355100","Новопсков","смт.",0,"Новопсковський","Луганська",9952
58,"0923650100","Перевальськ","місто",0,"Перевальський","Луганська",29220
59,"0923650300","Артемівськ","місто",0,"Перевальський","Луганська",9098
60,"0923650600","Зоринськ","місто",0,"Перевальський","Луганська",8672
61,"0923850100","Попасна","місто",0,"Попаснянський","Луганська",25842
62,"0924050100","Сватове","місто",0,"Сватівський","Луганська",19383
63,"0924550300","Зимогір'я","місто",0,"Слов'яносербський","Луганська",11212
64,"0924555100","Слов'яносербськ","смт.",0,"Слов'яносербський","Луганська",8207
65,"0924855100","Станиця Луганська","смт.",0,"Станично-Луганський","Луганська",14543
66,"0925150100","Старобільськ","місто",0,"Старобільський","Луганська",22040
67,"0925455100","Троїцьке","смт.",0,"Троїцький","Луганська",8386
68,"0940100000","Луганськ","місто",0,"м.Луганськ","Луганська",459294
69,"0940160300","Олександрівськ","місто",0,"м.Луганськ","Луганська",6935
70,"0940161400","Щастя","місто",0,"м.Луганськ","Луганська",13799
71,"0940300000","Антрацит","місто",0,"м.Антрацит","Луганська",63404
72,"0940500000","Брянка","місто",0,"м.Брянка","Луганська",54850
73,"0941000000","Кіровськ","місто",0,"м.Кіровськ","Луганська",35136
74,"0941200000","Алчевськ","місто",0,"м.Алчевськ","Луганська",118611
75,"0941400000","Краснодон","місто",0,"м.Краснодон","Луганська",49921
76,"0941450400","Молодогвардійськ","місто",0,"м.Краснодон","Луганська",25654
77,"0941450700","Суходільськ","місто",0,"м.Краснодон","Луганська",23739
78,"0941600000","Красний Луч","місто",0,"м.Красний Луч","Луганська",94756
79,"0941650300","Вахрушеве","місто",0,"м.Красний Луч","Луганська",14770
80,"0941650600","Міусинськ","місто",0,"м.Красний Луч","Луганська",6042
81,"0941650900","Петрівське","місто",0,"м.Красний Луч","Луганська",15623
82,"0941800000","Лисичанськ","місто",0,"м.Лисичанськ","Луганська",114905
83,"0941850400","Новодружеськ","місто",0,"м.Лисичанськ","Луганська",9154
84,"0941850700","Привілля","місто",0,"м.Лисичанськ","Луганська",9081
85,"0942100000","Первомайськ","місто",0,"м.Первомайськ","Луганська",43094
86,"0942150300","Гірське","місто",0,"м.Первомайськ","Луганська",11580
87,"0942150500","Золоте","місто",0,"м.Первомайськ","Луганська",17816
88,"0942300000","Ровеньки","місто",0,"м.Ровеньки","Луганська",53609
89,"0942500000","Рубіжне","місто",0,"м.Рубіжне","Луганська",65564
90,"0942700000","Свердловськ","місто",0,"м.Свердловськ","Луганська",72611
91,"0942750600","Червонопартизанськ","місто",0,"м.Свердловськ","Луганська",17524
92,"0942900000","Сєвєродонецьк","місто",0,"м.Сєвєродонецьк","Луганська",120225
93,"0943100000","Стаханов","місто",0,"м.Стаханов","Луганська",90144
94,"0943150200","Алмазна","місто",0,"м.Стаханов","Луганська",5099
95,"0943150800","Теплогірськ","місто",0,"м.Стаханов","Луганська",13174
96,"1220350100","Апостолове","місто",0,"Апостолівський","Дніпропетровська",16356
97,"1220350300","Зеленодольськ","місто",0,"Апостолівський","Дніпропетровська",14986
98,"1220755100","Васильківка","смт.",0,"Васильківський","Дніпропетровська",12028
99,"1221050100","Верхньодніпровськ","місто",0,"Верхньодніпровський","Дніпропетровська",16680
100,"1221050300","Верхівцеве","місто",0,"Верхньодніпровський","Дніпропетровська",10134
101,"1221451000","Підгородне","місто",0,"Дніпропетровський","Дніпропетровська",17778
102,"1222055100","Кринички","смт.",0,"Криничанський","Дніпропетровська",4657
103,"1222355100","Магдалинівка","смт.",0,"Магдалинівський","Дніпропетровська",6493
104,"1222655100","Межова","смт.",0,"Межівський","Дніпропетровська",8049
105,"1223255900","Перещепине","місто",0,"Новомосковський","Дніпропетровська",10150
106,"1223755100","Петриківка","смт.",0,"Петриківський","Дніпропетровська",4913
107,"1223855100","Петропавлівка","смт.",0,"Петропавлівський","Дніпропетровська",9177
108,"1224255100","Покровське","смт.",0,"Покровський","Дніпропетровська",11661
109,"1224550100","П'ятихатки","місто",0,"П'ятихатський","Дніпропетровська",20459
110,"1225055100","Солоне","смт.",0,"Солонянський","Дніпропетровська",7428
111,"1225255100","Софіївка","смт.",0,"Софіївський","Дніпропетровська",8243
112,"1225455100","Томаківка","смт.",0,"Томаківський","Дніпропетровська",8090
113,"1225655100","Царичанка","смт.",0,"Царичанський","Дніпропетровська",7839
114,"1225855100","Широке","смт.",0,"Широківський","Дніпропетровська",11221
115,"1225955100","Юр'ївка","смт.",0,"Юр'ївський","Дніпропетровська",2533
116,"1240200000","Вільногірськ","місто",0,"м.Вільногірськ","Дніпропетровська",24080
117,"1240400000","Дніпродзержинськ","місто",0,"м.Дніпродзержинськ","Дніпропетровська",254869
118,"1240700000","Жовті Води","місто",0,"м.Жовті Води","Дніпропетровська",56542
119,"1241000000","Кривий Ріг","місто",0,"м.Кривий Ріг","Дніпропетровська",706883
120,"1241300000","Марганець","місто",0,"м.Марганець","Дніпропетровська",49438
121,"1241600000","Нікополь","місто",0,"м.Нікополь","Дніпропетровська",138218
122,"1241900000","Новомосковськ","місто",0,"м.Новомосковськ","Дніпропетровська",71860
123,"1242100000","Орджонікідзе","місто",0,"м.Орджонікідзе","Дніпропетровська",44956
124,"1242400000","Павлоград","місто",0,"м.Павлоград","Дніпропетровська",119672
125,"1242600000","Першотравенськ","місто",0,"м.Першотравенськ","Дніпропетровська",29374
126,"1243000000","Синельникове","місто",0,"м.Синельникове","Дніпропетровська",32292
127,"1243500000","Тернівка","місто",0,"м.Тернівка","Дніпропетровська",29442
128,"1420355100","Олександрівка","смт.",0,"Олександрівський","Донецька",4186
129,"1420650100","Амвросіївка","місто",0,"Амвросіївський","Донецька",21861
130,"1420950400","Сіверськ","місто",0,"Артемівський","Донецька",14400
131,"1421255100","Велика Новосілка","смт.",0,"Великоновосілківський","Донецька",7385
132,"1421550100","Волноваха","місто",0,"Волноваський","Донецька",24373
133,"1421755100","Володарське","смт.",0,"Володарський","Донецька",8779
134,"1423350100","Мар'їнка","місто",0,"Мар'їнський","Донецька",10530
135,"1423350400","Красногорівка","місто",0,"Мар'їнський","Донецька",16398
136,"1423350600","Курахове","місто",0,"Мар'їнський","Донецька",21516
137,"1423650100","Новоазовськ","місто",0,"Новоазовський","Донецька",12723
138,"1423955100","Мангуш","смт.",0,"Першотравневий","Донецька",8385
139,"1424550400","Комсомольське","місто",0,"Старобешівський","Донецька",12672
140,"1424555100","Старобешеве","смт.",0,"Старобешівський","Донецька",7118
141,"1424855100","Тельманове","смт.",0,"Тельманівський","Донецька",5273
142,"1440160500","Моспине","місто",0,"м.Донецьк","Донецька",11735
143,"1440200000","Авдіївка","місто",0,"м.Авдіївка","Донецька",37237
144,"1440300000","Артемівськ","місто",0,"м.Артемівськ","Донецька",83146
145,"1440350300","Соледар","місто",0,"м.Артемівськ","Донецька",13182
146,"1440350600","Часів Яр","місто",0,"м.Артемівськ","Донецька",16767
147,"1440600000","Горлівка","місто",0,"м.Горлівка","Донецька",289872
148,"1440900000","Дебальцеве","місто",0,"м.Дебальцеве","Донецька",30806
149,"1440950500","Світлодарське","місто",0,"м.Дебальцеве","Донецька",13203
150,"1441200000","Дзержинськ","місто",0,"м.Дзержинськ","Донецька",42916
151,"1441250300","Артемове","місто",0,"м.Дзержинськ","Донецька",6543
152,"1441300000","Димитров","місто",0,"м.Димитров","Донецька",55677
153,"1441500000","Добропілля","місто",0,"м.Добропілля","Донецька",35977
154,"1441550300","Білецьке","місто",0,"м.Добропілля","Донецька",10154
155,"1441550500","Білозерське","місто",0,"м.Добропілля","Донецька",18543
156,"1441600000","Докучаєвськ","місто",0,"м.Докучаєвськ","Донецька",24142
157,"1441700000","Дружківка","місто",0,"м.Дружківка","Донецька",64641
158,"1442000000","Єнакієве","місто",0,"м.Єнакіїве","Донецька",104266
159,"1442050500","Вуглегірськ","місто",0,"м.Єнакіїве","Донецька",10693
160,"1442050700","Юнокомунарівськ","місто",0,"м.Єнакіїве","Донецька",17828
161,"1442100000","Жданівка","місто",0,"м.Жданівка","Донецька",13266
162,"1442300000","Маріуполь","місто",0,"м.Маріуполь","Донецька",488462
163,"1442500000","Кіровське","місто",0,"м.Кіровське","Донецька",31041
164,"1442600000","Костянтинівка","місто",0,"м.Костянтинівка","Донецька",94886
165,"1442900000","Краматорськ","місто",0,"м.Краматорськ","Донецька",180487
166,"1443200000","Красноармійськ","місто",0,"м.Красноармійськ","Донецька",68740
167,"1443250600","Родинське","місто",0,"м.Красноармійськ","Донецька",11988
168,"1443300000","Красний Лиман","місто",0,"м.Красний Лиман","Донецька",27575
169,"1443500000","Макіївка","місто",0,"м.Макіївка","Донецька",387609
170,"1443600000","Новогродівка","місто",0,"м.Новогродівка","Донецька",17559
171,"1443800000","Селідове","місто",0,"м.Селідове","Донецька",26875
172,"1443850300","Гірник","місто",0,"м.Селідове","Донецька",14246
173,"1443850900","Українськ","місто",0,"м.Селідове","Донецька",13378
174,"1444100000","Слов'янськ","місто",0,"м.Слов'янськ","Донецька",122575
175,"1444150500","Святогірськ","місто",0,"м.Слов'янськ","Донецька",3805
176,"1444155400","Миколаївка","місто",0,"м.Слов'янськ","Донецька",16493
177,"1444400000","Сніжне","місто",0,"м.Сніжне","Донецька",58578
178,"1444700000","Торез","місто",0,"м.Торез","Донецька",72745
179,"1444800000","Вугледар","місто",0,"м.Вугледар","Донецька",17518
180,"1445000000","Харцизьк","місто",0,"м.Харцизьк","Донецька",63672
181,"1445050500","Зугрес","місто",0,"м.Харцизьк","Донецька",19910
182,"1445050800","Іловайськ","місто",0,"м.Харцизьк","Донецька",17621
183,"1445300000","Шахтарськ","місто",0,"м.Шахтарськ","Донецька",60368
184,"1445500000","Ясинувата","місто",0,"м.Ясинувата","Донецька",36903
185,"1820350100","Андрушівка","місто",0,"Андрушівський","Житомирська",9832
186,"1820655100","Баранівка","місто",0,"Баранівський","Житомирська",12523
187,"1820955100","Брусилів","смт.",0,"Брусилівський","Житомирська",5385
188,"1821155100","Володарськ-Волинський","смт.",0,"Володарсько-Волинський","Житомирська",8037
189,"1821455100","Романів","смт.",0,"Романівський","Житомирська",8202
190,"1821755100","Ємільчине","смт.",4,"Ємільчинський","Житомирська",7392
191,"1822550100","Коростишів","місто",0,"Коростишівський","Житомирська",25735
192,"1822855100","Лугини","смт.",3,"Лугинський","Житомирська",4692
193,"1823155100","Любар","смт.",0,"Любарський","Житомирська",2482
194,"1823450100","Малин","місто",4,"м.Малин","Житомирська",28150
195,"1823755100","Народичі","смт.",2,"Народицький","Житомирська",2585
196,"1824250100","Овруч","місто",3,"Овруцький","Житомирська",16896
197,"1824455100","Олевськ","місто",4,"Олевський","Житомирська",10851
198,"1824785301","Попільня","смт.",0,"Попільнянський","Житомирська",6109
199,"1825050100","Радомишль","місто",0,"Радомишльський","Житомирська",15307
200,"1825255100","Ружин","смт.",0,"Ружинський","Житомирська",5067
201,"1825455100","Червоноармійськ","смт.",0,"Червоноармійський","Житомирська",5323
202,"1825655100","Черняхів","смт.",0,"Черняхівський","Житомирська",10416
203,"1825855100","Чуднів","смт.",0,"Чуднівський","Житомирська",6450
204,"1840100000","Житомир","місто",0,"м.Житомир","Житомирська",282823
205,"1840400000","Бердичів","місто",0,"м.Бердичів","Житомирська",87193
206,"1840700000","Коростень","місто",3,"м.Коростень","Житомирська",66850
207,"1841000000","Новоград-Волинський","місто",0,"м.Новоград-Волинський","Житомирська",56555
208,"2120450100","Берегове","місто",0,"м.Берегове","Закарпатська",26050
209,"2120855100","Великий Березний","смт.",0,"Великоберезнянський","Закарпатська",6655
210,"2121250100","Виноградів","місто",0,"Виноградівський","Закарпатська",25383
211,"2121555100","Воловець","смт.",0,"Воловецький","Закарпатська",5178
212,"2121950100","Іршава","місто",0,"Іршавський","Закарпатська",9512
213,"2122455100","Міжгір'я","смт.",0,"Міжгірський","Закарпатська",9421
214,"2123255100","Перечин","місто",0,"Перечинський","Закарпатська",7020
215,"2123650100","Рахів","місто",0,"Рахівський","Закарпатська",14969
216,"2124050100","Свалява","місто",0,"Свалявський","Закарпатська",16983
217,"2124450100","Тячів","місто",0,"Тячівський","Закарпатська",9519
218,"2124850300","Чоп","місто",0,"м.Чоп","Закарпатська",8870
219,"2125350100","Хуст","місто",0,"м.Хуст","Закарпатська",28559
220,"2140100000","Ужгород","місто",0,"м.Ужгород","Закарпатська",115568
221,"2140400000","Мукачеве","місто",0,"м.Мукачеве","Закарпатська",81637
222,"2320355100","Якимівка","смт.",0,"Якимівський","Запорізька",12832
223,"2320950100","Василівка","місто",0,"Василівський","Запорізька",15507
224,"2320950400","Дніпрорудне","місто",0,"Василівський","Запорізька",21271
225,"2321180101","Велика Білозерка","село",0,"Великобілозерський","Запорізька",3657
226,"2321255100","Веселе","смт.",0,"Веселівський","Запорізька",11098
227,"2321550100","Вільнянськ","місто",0,"Вільнянський","Запорізька",16456
228,"2321850100","Гуляйполе","місто",0,"Гуляйпільський","Запорізька",16829
229,"2322450100","Кам'янка-Дніпровська","місто",0,"Кам'янсько-Дніпровський","Запорізька",15406
230,"2322755100","Куйбишеве","смт.",0,"Куйбишевський","Запорізька",8083
231,"2323355100","Михайлівка","смт.",0,"Михайлівський","Запорізька",13671
232,"2323655100","Новомиколаївка","смт.",0,"Новомиколаївський","Запорізька",5825
233,"2323950100","Оріхів","місто",0,"Оріхівський","Запорізька",17986
234,"2324250100","Пологи","місто",0,"Пологівський","Запорізька",22096
235,"2324555100","Приазовське","смт.",0,"Приазовський","Запорізька",7266
236,"2324850100","Приморськ","місто",0,"Приморський","Запорізька",12860
237,"2324955100","Розівка","смт.",0,"Розівський","Запорізька",4379
238,"2325250100","Молочанськ","місто",0,"Токмацький","Запорізька",7883
239,"2325555100","Чернігівка","смт.",0,"Чернігівський","Запорізька",7415
240,"2340100000","Запоріжжя","місто",0,"м.Запоріжжя","Запорізька",810620
241,"2340400000","Бердянськ","місто",0,"м.Бердянськ","Запорізька",121759
242,"2340700000","Мелітополь","місто",0,"м.Мелітополь","Запорізька",160352
243,"2341000000","Токмак","місто",0,"м.Токмак","Запорізька",36760
244,"2342500000","Енергодар","місто",0,"м.Енергодар","Запорізька",56180
245,"2620455100","Богородчани","смт.",0,"Богородчанський","Івано-Франківська",7464
246,"2620855100","Верховина","смт.",0,"Верховинський","Івано-Франківська",5412
247,"2621250100","Галич","місто",0,"Галицький","Івано-Франківська",6406
248,"2621250300","Бурштин","місто",0,"Галицький","Івано-Франківська",15182
249,"2621650100","Городенка","місто",0,"Городенківський","Івано-Франківська",9508
250,"2622050100","Долина","місто",0,"Долинський","Івано-Франківська",20696
251,"2623650100","Косів","місто",0,"Косівський","Івано-Франківська",8278
252,"2624050100","Надвірна","місто",0,"Надвірнянський","Івано-Франківська",20620
253,"2624450100","Рогатин","місто",0,"Рогатинський","Івано-Франківська",8461
254,"2624855100","Рожнятів","смт.",0,"Рожнятівський","Івано-Франківська",4003
255,"2625250100","Снятин","місто",0,"Снятинський","Івано-Франківська",10210
256,"2625650100","Тлумач","місто",0,"Тлумацький","Івано-Франківська",8632
257,"2625850100","Тисмениця","місто",0,"Тисменицький","Івано-Франківська",9720
258,"2640100000","Івано-Франківськ","місто",0,"м.Івано-Франківськ","Івано-Франківська",215288
259,"2640200000","Болехів","місто",0,"м.Болехів","Івано-Франківська",10590
260,"2640400000","Калуш","місто",0,"м.Калуш","Івано-Франківська",67887
261,"2640600000","Коломия","місто",0,"м.Коломия","Івано-Франківська",61448
262,"2641000000","Яремче","місто",0,"м.Яремче","Івано-Франківська",7543
263,"3220255100","Баришівка","смт.",0,"Баришівський","Київська",10925
264,"3220450500","Узин","місто",4,"Білоцерківський","Київська",13179
265,"3220650100","Богуслав","місто",4,"Богуславський","Київська",16911
266,"3221055100","Бородянка","смт.",4,"Бородянський","Київська",12353
267,"3221655100","Володарка","смт.",0,"Володарський","Київська",7540
268,"3221850100","Вишгород","місто",4,"Вишгородський","Київська",22867
269,"3221955100","Згурівка","смт.",0,"Згурівський","Київська",6629
270,"3222055100","Іванків","смт.",3,"Іванківський","Київська",10424
271,"3222250100","Кагарлик","місто",4,"Кагарлицький","Київська",13802
272,"3222450300","Боярка","місто",4,"Києво-Святошинський","Київська",34502
273,"3222450600","Вишневе","місто",0,"Києво-Святошинський","Київська",34295
274,"3222755100","Макарів","смт.",4,"Макарівський","Київська",11860
275,"3222950100","Миронівка","місто",4,"Миронівський","Київська",13253
276,"3223150100","Обухів","місто",0,"Обухівський","Київська",32737
277,"3223151000","Українка","місто",0,"Обухівський","Київська",13978
278,"3223584401","Красятичі","смт.",4,"Поліський","Київська",748
279,"3223755100","Рокитне","смт.",4,"Рокитнянський","Київська",13690
280,"3224050100","Сквира","місто",0,"Сквирський","Київська",18009
281,"3224255100","Ставище","смт.",4,"Ставищенський","Київська",7828
282,"3224450100","Тараща","місто",4,"Таращанський","Київська",13307
283,"3224650100","Тетіїв","місто",0,"Тетіївський","Київська",15111
284,"3225550100","Яготин","місто",0,"Яготинський","Київська",23556
285,"3240300000","Біла Церква","місто",4,"м.Біла Церква","Київська",196023
286,"3240400000","Березань","місто",0,"м.Березань","Київська",17516
287,"3240500000","Бориспіль","місто",0,"м.Бориспіль","Київська",53953
288,"3240600000","Бровари","місто",0,"м.Бровари","Київська",86165
289,"3240700000","Васильків","місто",0,"м.Васильків","Київська",39340
290,"3240900000","Ірпінь","місто",4,"м.Ірпінь","Київська",39950
291,"3240955300","Буча","місто",4,"м.Буча","Київська",28279
292,"3241000000","Переяслав-Хмельницький","місто",0,"м.Переяслав-Хмельницький","Київська",31621
293,"3241200000","Фастів","місто",4,"м.Фастів","Київська",51552
294,"3241300000","Ржищів","місто",0,"м.Ржищів","Київська",8436
295,"3241500000","Славутич","місто",4,"м.Славутич","Київська",24549
296,"3520555100","Олександрівка","смт.",0,"Олександрівський","Кіровоградська",10986
297,"3520850100","Бобринець","місто",0,"Бобринецький","Кіровоградська",12223
298,"3521150100","Гайворон","місто",0,"Гайворонський","Кіровоградська",15956
299,"3521455100","Голованівськ","смт.",0,"Голованівський","Кіровоградська",6660
300,"3521750300","Помічна","місто",0,"Добровеличківський","Кіровоградська",10913
301,"3521755100","Добровеличківка","смт.",0,"Добровеличківський","Кіровоградська",6976
302,"3521950100","Долинська","місто",0,"Долинський","Кіровоградська",18567
303,"3522855100","Компаніївка","смт.",0,"Компаніївський","Кіровоградська",4993
304,"3523150100","Мала Виска","місто",0,"Маловисківський","Кіровоградська",12994
305,"3523455100","Новгородка","смт.",0,"Новгородківський","Кіровоградська",6632
306,"3523655100","Новоархангельськ","смт.",0,"Новоархангельський","Кіровоградська",7624
307,"3523850100","Новомиргород","місто",0,"Новомиргородський","Кіровоградська",13220
308,"3524050100","Новоукраїнка","місто",0,"Новоукраїнський","Кіровоградська",19123
309,"3524355100","Вільшанка","смт.",0,"Вільшанський","Кіровоградська",5670
310,"3524655100","Онуфріївка","смт.",0,"Онуфріївський","Кіровоградська",4397
311,"3524955100","Петрове","смт.",0,"Петрівський","Кіровоградська",8512
312,"3525550100","Ульяновка","місто",0,"Ульяновський","Кіровоградська",7404
313,"3525855100","Устинівка","смт.",0,"Устинівський","Кіровоградська",4142
314,"3540100000","Кіровоград","місто",0,"м.Кіровоград","Кіровоградська",250629
315,"3540300000","Олександрія","місто",0,"м.Олександрія","Кіровоградська",92638
316,"3540600000","Знам'янка","місто",0,"м.Знам'янка","Кіровоградська",29234
317,"3540900000","Світловодськ","місто",0,"м.Світловодськ","Кіровоградська",49938
318,"4000000000","Севастополь","місто",0,"м.Севастополь","м.Севастополь",340190
319,"4026350300","Інкерман","місто",0,"м.Севастополь","м.Севастополь",10452
320,"4320450100","Бахчисарай","місто",0,"Бахчисарайський","Автономна Республіка Крим",26700
321,"4320750100","Білогірськ","місто",0,"Білогірський","Автономна Республіка Крим",18420
322,"4321650400","Старий Крим","місто",0,"Кіровський","Автономна Республіка Крим",9960
323,"4321655100","Кіровське","смт.",0,"Кіровський","Автономна Республіка Крим",7431
324,"4322055100","Красногвардійське","смт.",0,"Красногвардійський","Автономна Республіка Крим",11168
325,"4322750500","Щолкіне","місто",0,"Ленінський","Автономна Республіка Крим",11677
326,"4322755100","Леніне","смт.",0,"Ленінський","Автономна Республіка Крим",8451
327,"4323155100","Нижньогірський","смт.",0,"Нижньогірський","Автономна Республіка Крим",10534
328,"4323555100","Первомайське","смт.",0,"Первомайський","Автономна Республіка Крим",9384
329,"4323955100","Роздольне","смт.",0,"Роздольненський","Автономна Республіка Крим",8163
330,"4325255100","Совєтський","смт.",0,"Совєтський","Автономна Республіка Крим",10963
331,"4325655100","Чорноморське","смт.",0,"Чорноморський","Автономна Республіка Крим",11643
332,"4340100000","Сімферополь","місто",0,"м.Сімферополь","Автономна Республіка Крим",338038
333,"4340300000","Алушта","місто",0,"м.Алушта","Автономна Республіка Крим",29781
334,"4340600000","Джанкой","місто",0,"м.Джанкой","Автономна Республіка Крим",42861
335,"4340900000","Євпаторія","місто",0,"м.Євпаторія","Автономна Республіка Крим",103244
336,"4341200000","Керч","місто",0,"м.Керч","Автономна Республіка Крим",158165
337,"4341300000","Красноперекопськ","місто",0,"м.Красноперекопськ","Автономна Республіка Крим",30902
338,"4341400000","Саки","місто",0,"м.Саки","Автономна Республіка Крим",28522
339,"4341500000","Армянськ","місто",0,"м.Армянськ","Автономна Республіка Крим",24508
340,"4341600000","Феодосія","місто",0,"м.Феодосія","Автономна Республіка Крим",73857
341,"4341700000","Судак","місто",0,"м.Судак","Автономна Республіка Крим",15050
342,"4341900000","Ялта","місто",0,"м.Ялта","Автономна Республіка Крим",80552
