"RwID","SOATO_U","UKRNAME","RUSNAME","ENGNAME","SETTLTYPE","ZONE","NewFittedZone","REGION","DISTRICT","c25_gr1"
1,"5924486301","Стара Гута","Старая Гута","Stara Huta","село",0,0,"Сумська","Середино-Будський",22
2,"5924481703","Кудоярове","Кудоярово","Kudoiarove","село",0,0,"Сумська","Середино-Будський",24.8
3,"7423683203","Веселе","Веселое","Vesele","село",0,0,"Чернiгiвська","Новгород-Сiверський",53.29
4,"5924483801","Нововасилівка","Нововасилевка","Novovasylivka","село",0,0,"Сумська","Середино-Будський",30.4
5,"7423683207","Мурав'ї","Муравьи","Murav'i","село",0,0,"Чернiгiвська","Новгород-Сiверський",55.21
6,"7423683201","Грем'яч","Гремяч","Hrem'yach","село",0,0,"Чернiгiвська","Новгород-Сiверський",54.88
7,"7423683208","Новоселівка","Новоселовка","Novoselivka","село",0,0,"Чернiгiвська","Новгород-Сiверський",54.94
8,"7423683206","Колос","Колос","Kolos","село",0,0,"Чернiгiвська","Новгород-Сiверський",55.92
9,"5924481705","Улиця","Улица","Ulytsia","село",0,0,"Сумська","Середино-Будський",25.2
10,"5924486304","Гаврилове","Гаврилово","Havrylove","село",0,0,"Сумська","Середино-Будський",19.5
11,"5924486702","Білоусівка","Белоусовка","Bilousivka","село",0,0,"Сумська","Середино-Будський",23.8
12,"5924481702","Карпеченкове","Карпеченково","Karpechenkove","село",0,0,"Сумська","Середино-Будський",25.7
13,"5924486302","Василівка","Василевка","Vasylivka","село",0,0,"Сумська","Середино-Будський",22.4
14,"5924482802","Василівське","Василевское","Vasylivs'ke","село",0,0,"Сумська","Середино-Будський",26.5
15,"7423682004","Городище","Городище","Horodyshche","село",0,0,"Чернiгiвська","Новгород-Сiверський",61.46
16,"7423687001","Михальчина-Слобода","Михальчина-Слобода","Mykhal'chyna-Sloboda","село",0,0,"Чернiгiвська","Новгород-Сiверський",55.77
17,"7423682006","Ясна Поляна","Ясная Поляна","Yasna Poliana","село",0,0,"Чернiгiвська","Новгород-Сiверський",57.83
18,"5924450101","Винторівка","Винторовка","Vyntorivka","село",0,0,"Сумська","Середино-Будський",17.9
19,"7423684002","Камінь","Камень","Kamin'","село",0,0,"Чернiгiвська","Новгород-Сiверський",54.35
20,"7423683202","Богданове","Богданово","Bohdanove","село",0,0,"Чернiгiвська","Новгород-Сiверський",54.04
21,"5924482805","Українське","Украинское","Ukrains'ke","село",0,0,"Сумська","Середино-Будський",26.4
22,"5924486305","Нова Гута","Новая Гута","Nova Huta","село",0,0,"Сумська","Середино-Будський",20.2
23,"5924482806","Червоне","Червоное","Chervone","село",0,0,"Сумська","Середино-Будський",26.1
24,"5924481701","Зноб-Трубчевська","Знобь-Трубчевская","Znob-Trubchevs'ka","село",0,0,"Сумська","Середино-Будський",25.6
25,"7423681604","Новопавлівське","Новопавловское","Novopavlivs'ke","село",0,0,"Чернiгiвська","Новгород-Сiверський",58.23
26,"7423683204","Гай","Гай","Hai","село",0,0,"Чернiгiвська","Новгород-Сiверський",55.62
27,"7423683205","Діброва","Диброва","Dibrova","село",0,0,"Чернiгiвська","Новгород-Сiверський",57.31
28,"5924480903","Лісне","Лесное","Lisne","село",0,0,"Сумська","Середино-Будський",20.9
29,"5924481704","Любахове","Любахово","Liubakhove","село",0,0,"Сумська","Середино-Будський",26
30,"5924455300","Зноб-Новгородське","Знобь-Новгородское","Znob-Novhorods'ke","смт",0,0,"Сумська","Середино-Будський",23.6
31,"5924486701","Стягайлівка","Стягайловка","Stiahailivka","село",0,0,"Сумська","Середино-Будський",22.7
32,"7423682001","Бучки","Бучки","Buchky","село",0,0,"Чернiгiвська","Новгород-Сiверський",58.17
33,"5924486303","Гаврилова Слобода","Гаврилова Слобода","Havrylova Sloboda","село",0,0,"Сумська","Середино-Будський",19.2
34,"7423684001","Кам'янська Слобода","Каменская Слобода","Kam'yans'ka Sloboda","село",0,0,"Чернiгiвська","Новгород-Сiверський",53.15
35,"7423687002","Миколаївське","Николаевское","Mykolaivs'ke","село",0,0,"Чернiгiвська","Новгород-Сiверський",57.14
36,"5924480901","Голубівка","Голубовка","Holubivka","село",0,0,"Сумська","Середино-Будський",20
37,"7424786506","Улянівське","Ульяновское","Ulianivs'ke","село",4,4,"Чернiгiвська","Семенiвський",65.35
38,"5924455302","Люте","Лютое","Liute","село",0,0,"Сумська","Середино-Будський",22.1
39,"7423682003","Вильчики","Вильчики","Vyl'chyky","село",0,0,"Чернiгiвська","Новгород-Сiверський",55.28
40,"7424786507","Червоний Пахар","Червоный Пахарь","Chervonyi Pakhar","село",3,4,"Чернiгiвська","Семенiвський",63.8
41,"7423681603","Красний Хутір","Красный Хутор","Krasnyi Khutir","село",0,0,"Чернiгiвська","Новгород-Сiверський",58.33
42,"7424781702","Покровське","Покровское","Pokrovs'ke","село",4,0,"Чернiгiвська","Семенiвський",63.31
43,"7424781701","Жовтневе","Жовтневое","Zhovtneve","село",4,4,"Чернiгiвська","Семенiвський",68.57
44,"5924482804","Мефодівка","Мефодовка","Mefodivka","село",0,0,"Сумська","Середино-Будський",24.2
45,"5924455301","Кустине","Кустино","Kustyne","село",0,0,"Сумська","Середино-Будський",22.5
46,"5924482801","Кренидівка","Кренидовка","Krenydivka","село",0,0,"Сумська","Середино-Будський",23.7
47,"7423682005","Зоря","Заря","Zoria","село",0,0,"Чернiгiвська","Новгород-Сiверський",59.53
48,"7423681601","Будо-Вороб'ївська","Буда-Воробьевская","Budo-Vorob'ivs'ka","село",0,0,"Чернiгiвська","Новгород-Сiверський",55.42
49,"5924480405","Троїцьке","Троицкое","Troits'ke","село",0,0,"Сумська","Середино-Будський",19.4
50,"5924450100","Середина-Буда","Середина-Буда","Seredyna-Buda","мiсто",0,0,"Сумська","Середино-Будський",15.9
51,"7424786501","Тимоновичі","Тимоновичи","Tymonovychi","село",3,4,"Чернiгiвська","Семенiвський",67.16
52,"5924450107","Хлібороб","Хлебороб","Khliborob","село",0,0,"Сумська","Середино-Будський",17.2
53,"7424786505","Медведівка","Медведевка","Medvedivka","село",4,4,"Чернiгiвська","Семенiвський",71.91
54,"5924480902","Заріччя","Заречье","Zarichchia","село",0,0,"Сумська","Середино-Будський",20.1
55,"7423681605","Ямне","Ямное","Yamne","село",0,0,"Чернiгiвська","Новгород-Сiверський",55.41
56,"","Подiли","","","",0,0,"","",20
57,"5924480406","Ясна Поляна","Ясная Поляна","Yasna Poliana","село",0,0,"Сумська","Середино-Будський",19.4
58,"5924484403","Красноярське","Красноярское","Krasnoiars'ke","село",0,0,"Сумська","Середино-Будський",24.9
59,"5924480401","Велика Берізка","Великая Березка","Velyka Berizka","село",0,0,"Сумська","Середино-Будський",18.7
60,"7423684703","Кремський Бугор","Кремский Бугор","Krems'kyi Buhor","село",0,0,"Чернiгiвська","Новгород-Сiверський",52.54
61,"5924482803","Кім","Ким","Kim","село",0,0,"Сумська","Середино-Будський",22.7
62,"5924487601","Чернацьке","Чернацкое","Chernats'ke","село",0,0,"Сумська","Середино-Будський",17.1
63,"7423681602","Андріївка","Андреевка","Andriivka","село",0,0,"Чернiгiвська","Новгород-Сiверський",56.86
64,"7423682002","Великий Гай","Великий Гай","Velykyi Hai","село",0,0,"Чернiгiвська","Новгород-Сiверський",56.39
65,"7424786503","Заріччя","Заречье","Zarichchia","село",3,3,"Чернiгiвська","Семенiвський",67.25
66,"5924480404","Перемога","Перемога","Peremoha","село",0,0,"Сумська","Середино-Будський",17.8
67,"7423684707","Піщанка","Песчанка","Pishchanka","село",0,0,"Чернiгiвська","Новгород-Сiверський",53.13
68,"7424783001","Костобобрів","Костобобров","Kostobobriv","село",0,0,"Чернiгiвська","Семенiвський",49.3
69,"7424784001","Миколаївка","Николаевка","Mykolaivka","село",4,4,"Чернiгiвська","Семенiвський",68.76
70,"5924484401","Очкине","Очкино","Ochkyne","село",0,0,"Сумська","Середино-Будський",24.2
