"ID","Structure","SOATO_U","Type"
1,1,"0500000000","Ліквідатори наслідків аваріії на ЧАЕС, категорія 1"
2,2,"0500000000","Ліквідатори наслідків аваріії на ЧАЕС, категорія 2"
3,2,"0500000000","Ліквідатори наслідків аваріії на ЧАЕС, категорія 2"
4,2,"0500000000","Ліквідатори наслідків аваріії на ЧАЕС, категорія 2"
5,3,"0500000000","Ліквідатори наслідків аваріії на ЧАЕС, категорія 3"
6,4,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 1"
7,5,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 2"
8,6,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 3"
9,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
10,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
11,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
12,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
13,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
14,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
15,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
16,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
17,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
18,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
19,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
20,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
21,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
22,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
23,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
24,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
25,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
26,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
27,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
28,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
29,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
30,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
31,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
32,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
33,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
34,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
35,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
36,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
37,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
38,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
39,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
40,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
41,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
42,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
43,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
44,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
45,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
46,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
47,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
48,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
49,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
50,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
51,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
52,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
53,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
54,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
55,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
56,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
57,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
58,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
59,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
60,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
61,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
62,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
63,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
64,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
65,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
66,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
67,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
68,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
69,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
70,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
71,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
72,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
73,7,"0500000000","Потерпілі від Чорнобильської катастрофи, категорія 4"
